
Monthly	MonTax	MonNet	N/G
50000.00	6358.92	42409.77	0.85
52500.00	6983.92	44284.77	0.84
55000.00	7608.92	46159.77	0.84
57500.00	8233.93	48034.77	0.84
60000.00	8858.93	49909.77	0.83
62500.00	9483.93	51784.77	0.83
65000.00	10108.93	53659.77	0.83
67500.00	10733.93	55534.77	0.82
70000.00	11463.84	57304.86	0.82
72500.00	12213.84	59054.86	0.81
75000.00	12963.84	60804.86	0.81
77500.00	13713.84	62554.86	0.81
80000.00	14463.84	64304.86	0.80
82500.00	15213.84	66054.86	0.80
85000.00	15963.84	67804.86	0.80
87500.00	16713.84	69554.86	0.79
90000.00	17463.84	71304.86	0.79
92500.00	18213.84	73054.86	0.79
95000.00	18963.84	74804.86	0.79
97500.00	19713.84	76554.86	0.79
100000.00	20463.84	78304.86	0.78
102500.00	21213.84	80054.86	0.78
105000.00	21963.84	81804.86	0.78
107500.00	22713.84	83554.86	0.78
110000.00	23463.84	85304.86	0.78
112500.00	24213.84	87054.86	0.77
115000.00	24963.84	88804.86	0.77
117500.00	25713.84	90554.86	0.77
120000.00	26463.84	92304.86	0.77
122500.00	27213.84	94054.86	0.77
125000.00	27963.84	95804.86	0.77
127500.00	28713.84	97554.86	0.77
130000.00	29463.84	99304.86	0.76
132500.00	30213.84	101054.86	0.76
135000.00	30963.84	102804.86	0.76
137500.00	31713.84	104554.86	0.76
140000.00	32463.84	106304.86	0.76
142500.00	33213.84	108054.86	0.76
145000.00	33963.84	109804.86	0.76
147500.00	34713.84	111554.86	0.76
150000.00	35463.84	113304.86	0.76
152500.00	36213.84	115054.86	0.75
155000.00	36963.84	116804.86	0.75
157500.00	37713.84	118554.86	0.75
160000.00	38463.84	120304.86	0.75
162500.00	39213.84	122054.86	0.75
165000.00	39963.84	123804.86	0.75
167500.00	40713.84	125554.86	0.75
170000.00	41505.87	127262.83	0.75
172500.00	42305.87	128962.83	0.75
175000.00	43105.87	130662.83	0.75
177500.00	43905.87	132362.83	0.75
180000.00	44705.87	134062.83	0.74
182500.00	45505.87	135762.83	0.74
185000.00	46305.87	137462.83	0.74
187500.00	47105.87	139162.83	0.74
190000.00	47905.87	140862.83	0.74
192500.00	48705.87	142562.83	0.74
195000.00	49505.87	144262.83	0.74
197500.00	50305.87	145962.83	0.74
200000.00	51105.87	147662.83	0.74
202500.00	51905.87	149362.83	0.74
205000.00	52705.87	151062.83	0.74
207500.00	53505.87	152762.83	0.74
210000.00	54305.87	154462.83	0.74
212500.00	55105.87	156162.83	0.73
215000.00	55905.87	157862.83	0.73
217500.00	56705.87	159562.83	0.73
220000.00	57505.87	161262.83	0.73
222500.00	58305.87	162962.83	0.73
225000.00	59105.87	164662.83	0.73
227500.00	59905.87	166362.83	0.73
230000.00	60705.87	168062.83	0.73
232500.00	61505.87	169762.83	0.73
235000.00	62305.87	171462.83	0.73
237500.00	63105.87	173162.83	0.73
240000.00	63905.87	174862.83	0.73
242500.00	64705.87	176562.83	0.73
245000.00	65505.87	178262.83	0.73
247500.00	66305.87	179962.83	0.73
250000.00	67105.87	181662.83	0.73
252500.00	67905.87	183362.83	0.73
255000.00	68705.87	185062.83	0.73
257500.00	69505.87	186762.83	0.73
260000.00	70305.87	188462.83	0.72
262500.00	71105.87	190162.83	0.72
265000.00	71905.87	191862.83	0.72
267500.00	72705.87	193562.83	0.72
270000.00	73505.87	195262.83	0.72
272500.00	74305.87	196962.83	0.72
275000.00	75105.87	198662.83	0.72
277500.00	75905.87	200362.83	0.72
280000.00	76705.87	202062.83	0.72
282500.00	77505.87	203762.83	0.72
285000.00	78305.87	205462.83	0.72
287500.00	79105.87	207162.83	0.72
290000.00	79905.87	208862.83	0.72
292500.00	80705.87	210562.83	0.72
295000.00	81505.87	212262.83	0.72
297500.00	82305.87	213962.83	0.72
300000.00	83105.87	215662.83	0.72
302500.00	83905.87	217362.83	0.72
305000.00	84705.87	219062.83	0.72
307500.00	85505.87	220762.83	0.72
310000.00	86305.87	222462.83	0.72
312500.00	87105.87	224162.83	0.72
315000.00	87905.87	225862.83	0.72
317500.00	88705.87	227562.83	0.72
320000.00	89505.87	229262.83	0.72
322500.00	90305.87	230962.83	0.72
325000.00	91105.87	232662.83	0.72
327500.00	91905.87	234362.83	0.72
330000.00	92705.87	236062.83	0.72
332500.00	93505.87	237762.83	0.72
335000.00	94305.87	239462.83	0.71
337500.00	95105.87	241162.83	0.71
340000.00	95905.87	242862.83	0.71
342500.00	96705.87	244562.83	0.71
345000.00	97505.87	246262.83	0.71
347500.00	98305.87	247962.83	0.71
350000.00	99105.87	249662.83	0.71
352500.00	99905.87	251362.83	0.71
355000.00	100705.87	253062.83	0.71
357500.00	101505.87	254762.83	0.71
360000.00	102305.87	256462.83	0.71
362500.00	103105.87	258162.83	0.71
365000.00	103905.87	259862.83	0.71
367500.00	104705.87	261562.83	0.71
370000.00	105505.87	263262.83	0.71
372500.00	106305.87	264962.83	0.71
375000.00	107105.87	266662.83	0.71
377500.00	107905.87	268362.83	0.71
380000.00	108705.87	270062.83	0.71
382500.00	109505.87	271762.83	0.71
385000.00	110305.87	273462.83	0.71
387500.00	111105.87	275162.83	0.71
390000.00	111905.87	276862.83	0.71
392500.00	112705.87	278562.83	0.71
395000.00	113505.87	280262.83	0.71
397500.00	114305.87	281962.83	0.71
400000.00	115105.87	283662.83	0.71
402500.00	115905.87	285362.83	0.71
405000.00	116705.87	287062.83	0.71
407500.00	117505.87	288762.83	0.71
410000.00	118305.87	290462.83	0.71
412500.00	119105.87	292162.83	0.71
415000.00	119905.87	293862.83	0.71
417500.00	120705.87	295562.83	0.71
420000.00	121505.87	297262.83	0.71
422500.00	122305.87	298962.83	0.71
425000.00	123105.87	300662.83	0.71
427500.00	123905.87	302362.83	0.71
430000.00	124705.87	304062.83	0.71
432500.00	125505.87	305762.83	0.71
435000.00	126305.87	307462.83	0.71
437500.00	127105.87	309162.83	0.71
440000.00	127905.87	310862.83	0.71
442500.00	128705.87	312562.83	0.71
445000.00	129505.87	314262.83	0.71
447500.00	130305.87	315962.83	0.71
450000.00	131105.87	317662.83	0.71
452500.00	131905.87	319362.83	0.71
455000.00	132705.87	321062.83	0.71
457500.00	133505.87	322762.83	0.71
460000.00	134305.87	324462.83	0.71
462500.00	135105.87	326162.83	0.71
465000.00	135905.87	327862.83	0.71
467500.00	136705.87	329562.83	0.70
470000.00	137505.87	331262.83	0.70
472500.00	138305.87	332962.83	0.70
475000.00	139105.87	334662.83	0.70
477500.00	139905.87	336362.83	0.70
480000.00	140705.87	338062.83	0.70
482500.00	141505.87	339762.83	0.70
485000.00	142305.87	341462.83	0.70
487500.00	143105.87	343162.83	0.70
490000.00	143905.87	344862.83	0.70
492500.00	144705.87	346562.83	0.70
495000.00	145505.87	348262.83	0.70
497500.00	146305.87	349962.83	0.70
500000.00	147105.87	351662.83	0.70
